PLOTID,clase
1,Matorral con renoval Denso
2,Matorral Denso
3,Matorral con renoval Denso
4,Arbolado nativo Denso
5,Arbolado nativo Denso
6,Arbolado nativo Denso
7,Plantaciones de Eucaliptus Jovenes
8,Matorral Semidenso
9,Arbolado nativo Denso
10,Arbolado nativo Denso
11,Matorral con renoval Denso
12,Arbolado nativo Denso
13,Arbolado nativo Denso
14,Arbolado nativo Denso
15,Arbolado nativo Denso
16,Arbolado nativo Denso
17,Arbolado nativo Denso
18,Arbolado nativo Denso
19,Matorral con renoval Semidenso
20,IUF con matorral y arbolado nativo
21,Matorral con renoval Denso
22,Arbolado nativo Denso
23,Arbolado nativo Denso
24,Matorral con renoval Denso
25,Matorral con renoval Semidenso
26,Arbolado nativo Denso
27,Matorral con renoval Denso
28,Matorral con renoval Denso
29,Arbolado nativo Denso
30,Matorral con renoval Denso
31,Arbolado nativo Denso
32,Arbolado nativo Denso
33,Matorral Semidenso
34,Matorral Semidenso
35,Arbolado nativo Denso
36,Arbolado nativo Denso
37,Arbolado nativo Denso
38,Matorral Semidenso
39,Arbolado nativo Denso
40,Arbolado nativo Denso
41,Arbolado nativo Denso
42,Matorral con renoval Denso
43,Arbolado nativo Denso
44,Arbolado nativo Denso
45,Matorral Semidenso
46,Arbolado nativo Denso
47,Arbolado nativo Denso
48,Arbolado nativo Denso
49,Arbolado nativo Denso
50,Arbolado nativo Denso
51,Matorral Semidenso
52,Matorral Semidenso
53,Matorral con renoval Semidenso
54,Pastizal Mesomorfico
55,Matorral Semidenso
56,Matorral Semidenso
57,Matorral Semidenso
58,Matorral Semidenso
59,Arbolado nativo Semidenso
60,Matorral con renoval Denso
61,IUF con matorral y arbolado nativo
62,Matorral Denso
63,Pastizal Mesomorfico
64,Matorral Semidenso
66,Matorral Semidenso
67,Matorral Semidenso
68,Matorral Semidenso
69,Matorral Semidenso
70,Matorral con renoval Semidenso
71,Pastizal Mesomorfico
72,Matorral Semidenso
73,Pastizal Mesomorfico
74,Matorral Semidenso
75,Matorral Semidenso
77,IUF con matorral y arbolado nativo
78,Matorral Semidenso
79,Matorral con renoval Denso
80,Matorral Semidenso
81,Matorral Semidenso
82,Matorral Denso
83,Matorral Denso
84,Matorral Semidenso
85,Matorral Semidenso
86,Matorral Semidenso
87,Matorral Semidenso
88,Matorral Semidenso
89,Suelo desnudo
90,Matorral Denso
91,Matorral Semidenso
93,Matorral Denso
94,Matorral Semidenso
95,Matorral Semidenso
96,Pastizal Mesomorfico
97,Matorral Denso
98,Matorral Semidenso
99,Suelo desnudo
100,Matorral Semidenso
101,Matorral Semidenso
102,Pastizal Mesomorfico
104,Matorral Semidenso
105,Matorral Semidenso
106,Matorral Semidenso
107,Matorral Semidenso
108,Matorral Semidenso
109,Matorral Semidenso
110,Matorral Semidenso
111,Matorral Denso
112,Matorral Semidenso
113,Matorral Denso
114,Matorral Semidenso
115,Matorral con renoval Semidenso
